scenario,sim,metric,value
Baseline,3,asr_cancer_incidence,1223.3360129770545
Baseline,3,cancer_deaths,128588.17629797915
Baseline,3,cancer_incidence,1194.6121625900269
Baseline,3,cancer_incidence_no_hiv,1151.9061903953552
Baseline,3,cancer_incidence_with_hiv,5195.998877763748
Baseline,3,cancer_treatments,170076.8038
Baseline,3,cancers,148464.22343345475
Baseline,3,cancers_no_hiv,141860.72893217663
Baseline,3,cancers_with_hiv,5525.261953320875
Baseline,3,dalys,3023397.4298284715
Baseline,3,excisions,0.0
Baseline,3,leeps,83400.184
Baseline,3,screens,9943684.7952
Baseline,3,txvs,0.0
Baseline,3,vaccinations,13555806.3358
Baseline,3,yld,200066.21162122645
Baseline,3,yll,2823331.218207245
Baseline,4,ablations,910551.2946
Baseline,4,asr_cancer_incidence,948.3993615198125
Baseline,4,cancer_deaths,94817.06522742465
Baseline,4,cancer_incidence,866.4505630731583
Baseline,4,cancer_incidence_no_hiv,829.2125754356384
Baseline,4,cancer_incidence_with_hiv,4618.5622000694275
Baseline,4,cancer_treatments,103952.3722
Baseline,4,cancers,100625.29150631565
Baseline,4,cancers_no_hiv,95004.72022434474
Baseline,4,cancers_with_hiv,4637.645775764129
Baseline,4,dalys,1799881.4844062482
Baseline,4,excisions,0.0
Baseline,4,leeps,40806.5186
Baseline,4,screens,7276963.9118
Baseline,4,txvs,0.0
Baseline,4,vaccinations,13514404.1016
Baseline,4,yld,126775.46897890106
Baseline,4,yll,1673106.0154273473
Baseline,5,ablations,1983732.948
Baseline,5,asr_cancer_incidence,1285.6262772625048
Baseline,5,cancer_deaths,139707.20712093296
Baseline,5,cancer_incidence,1265.4722456932068
Baseline,5,cancer_incidence_no_hiv,1220.4175746440887
Baseline,5,cancer_incidence_with_hiv,5760.489635467529
Baseline,5,cancer_treatments,212968.32700000002
Baseline,5,cancers,158156.5157247829
Baseline,5,cancers_no_hiv,151240.2711990469
Baseline,5,cancers_with_hiv,5888.6484523217
Baseline,5,dalys,3406873.729100785
Baseline,5,excisions,0.0
Baseline,5,leeps,91442.3446
Baseline,5,screens,10716923.644
Baseline,5,txvs,0.0
Baseline,5,vaccinations,13511127.6658
Baseline,5,yld,209002.33014865717
Baseline,5,yll,3197871.3989521284
Baseline,6,ablations,881659.088
Baseline,6,asr_cancer_incidence,829.666870836915
Baseline,6,cancer_deaths,83275.07500195816
Baseline,6,cancer_incidence,768.9477721452713
Baseline,6,cancer_incidence_no_hiv,734.0719028711319
Baseline,6,cancer_incidence_with_hiv,4158.061710119247
Baseline,6,cancer_treatments,98888.7896
Baseline,6,cancers,90209.20360320163
Baseline,6,cancers_no_hiv,85097.97066911704
Baseline,6,cancers_with_hiv,4438.081076971687
Baseline,6,dalys,1710889.537694703
Baseline,6,excisions,0.0
Baseline,6,leeps,43785.0966
Baseline,6,screens,7106887.108
Baseline,6,txvs,0.0
Baseline,6,vaccinations,13579039.2442
Baseline,6,yld,115018.99421526182
Baseline,6,yll,1595870.5434794412
Baseline,7,ablations,1235216.2966
Baseline,7,asr_cancer_incidence,919.7595993579819
Baseline,7,cancer_deaths,96532.72388565743
Baseline,7,cancer_incidence,891.3688789606094
Baseline,7,cancer_incidence_no_hiv,852.3567177057266
Baseline,7,cancer_incidence_with_hiv,4884.439475059509
Baseline,7,cancer_treatments,125398.1338
Baseline,7,cancers,109566.9798948232
Baseline,7,cancers_no_hiv,103973.21824928517
Baseline,7,cancers_with_hiv,4825.29616171327
Baseline,7,dalys,2195004.2701974027
Baseline,7,excisions,0.0
Baseline,7,leeps,58677.9866
Baseline,7,screens,8222364.569
Baseline,7,txvs,0.0
Baseline,7,vaccinations,13539126.299
Baseline,7,yld,145471.0624500242
Baseline,7,yll,2049533.2077473786
Baseline,8,ablations,1175346.8788
Baseline,8,asr_cancer_incidence,887.7190629062745
Baseline,8,cancer_deaths,93098.4251445623
Baseline,8,cancer_incidence,841.7086954116821
Baseline,8,cancer_incidence_no_hiv,807.5337911844254
Baseline,8,cancer_incidence_with_hiv,4093.5384380817413
Baseline,8,cancer_treatments,136418.8724
Baseline,8,cancers,101313.3419764474
